Included in dataset,Reason for non-inclusion,Myrmecomorphy?,Imperfect mimicry?,Mimic taxon,Mimic order,Mimic class,Model taxon,Model order,Model class,Common rank,Operator,Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year
yes,,,,Cerambycidae,Coleoptera,Insecta,Lycidae,Coleoptera,Insecta,Suborder (Polyphaga),,Mimetic Assemblages of Lycidlike Cerambycidae (Insecta: Coleoptera) from Southeastern Brazil.,"do Nascimento, Elynton A.; Del-Claro, Kleber; Martins, Ubirajara R.",,,,Revista Brasileira de Zoociencias,Aug-10,2010,12,2,,,,187,193,,,,,1,0.12
no,Theoretical,,,,,,,,,,,A slow reinforcement learning scheme for selective predation,"Tsoularis, A.",,,,JOURNAL OF BIOLOGICAL SYSTEMS,Jun-07,2007,15,2,,,,109,121,,10.1142/S0218339007002179,,,2,0.18
no,Can't locate article,,,,,,,,,,,Locomotor mimicry and energetic costs of aposematic signaling in butterflies,"Srygley, RB",,,,INTEGRATIVE AND COMPARATIVE BIOLOGY,Dec-03,2003,43,6,,,,823,823,,,Annual Meeting of the Society-for-Integrative-and-Comparative-Biology,2004,2,0.13
yes,,,,Limenitis archippus,Lepidoptera,Insecta,Danaus gilippus,Lepidoptera,Insecta,Family (Nymphalidae),Predator/red-winged blackbird,"UNPALATABILITY OF VICEROY BUTTERFLIES (LIMENITIS-ARCHIPPUS) AND THEIR PURPORTED MIMICRY MODELS, FLORIDA QUEENS (DANAUS-GILIPPUS)","RITLAND, DB",,,,OECOLOGIA,1991,1991,88,1,,,,102,108,,10.1007/BF00328409,,,10,0.37
no,Theoretical,,,,,,,,,,,Optimal sampling and signal detection: unifying models of attention and speed-accuracy trade-offs,"Abbott, Kevin R.; Sherratt, Thomas N.",,,,BEHAVIORAL ECOLOGY,MAY-JUN 2013,2013,24,3,,,,605,616,,10.1093/beheco/art001,,,11,2.2
no,Theoretical,,,,,,,,,,,Revisiting the 1879 model for Evolutionary Mimicry by Fritz Muller: New mathematical approaches,"Ferreira, Wilson Castro, Jr.; Marcon, Divane",,,,ECOLOGICAL COMPLEXITY,Jun-14,2014,18,,,,SI,25,38,,10.1016/j.ecocom.2013.07.005,,,0,0
yes,,,,Scolytinae,Coleoptera,Insecta,Angiosperm,"Malpighiales, Fagales,  Sapindales",Angiosperms,Domain (Eukaryota),Competitor/beetle,Two pheromones of coniferophagous bark beetles found in the bark of nonhost angiosperms,"Huber, DPW; Gries, R; Borden, JH; Pierce, HD",,,,JOURNAL OF CHEMICAL ECOLOGY,Apr-99,1999,25,4,,,,805,816,,10.1023/A:1020892700653,,,63,3.32
no,Can't locate article,,,,,,,,,,,MICRURUS DISTANS (Sinaloan Coralsnake). DIET,"Santana, Sergio",,,,Herpetological Review,Jun-11,2011,42,2,,,,294,,,,,,0,0
no,Can't locate article,,,,,,,,,,,Mimikra i polimorfizm u motyla Papilio dardanus.. Mimicry and polymorphism in butterfly Papilio dardanus.,"Kalarus, Konrad M.",,,,Kosmos (Warsaw),2012,2012,61,2,,,,295,303,,,,,0,0
yes,,,yes,Artificial,Artificial,Artificial,Artificial,Artificial,Artificial,Artificial,Predator/Great tit,Imperfect Batesian mimicry - The effects of the frequency and the distastefulness of the model,"Lindstrom, L; Alatalo, RV; Mappes, J",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,FEB 22 1997,1997,264,1379,,,,149,153,,,,,82,3.9
yes,,,,Eristalis,Diptera,Insecta,Apis mellifera,Hymenoptera,Insecta,Class (Insecta),Predator/bird,Behavioural mimicry of honeybees (Apis mellifera) by droneflies (Diptera : Syrphidae : Eristalis spp.),"Golding, YC; Edmunds, M",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,MAY 7 2000,2000,267,1446,,,,903,909,,,,,24,1.33
yes,,,yes,Hymenopus coronatus,Mantodea,Insecta,Angiosperms,"Asparagales, Fabales, Myrtales, Gentianales, Lamiales, Asterales",Angiosperms,Domain (Eukaryota),Prey,Predatory pollinator deception: Does the orchid mantis resemble a model species?,"O'Hanlon, J. C.; Holwell, G. I.; Herberstein, M. E.",,,,CURRENT ZOOLOGY,2014,2014,60,1,,,,90,103,,,,,11,2.75
no,Can't locate article,,,,,,,,,,,"Pseudomyrmex salvini (Forel, 1899) - eine kaum bekannte Knotenameise.. [Pseudomyrmex salvini (Forel, 1899) - a little known knotted ant.]","Eilmus, Sascha",,,,Arthropoda,Nov-08,2008,16,3,,,,34,37,,,,,0,0
yes,,,,Disa ferruginea,Asparagales,Angiosperms,"Tritoniopsis triticea, Kniphofia uvaria",Asparagales,Angiosperms,Order (Asparagales),Pollinator/butterfly,EVIDENCE FOR BATESIAN MIMICRY IN A BUTTERFLY-POLLINATED ORCHID,"JOHNSON, SD",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Sep-94,1994,53,1,,,,91,104,,,,,87,3.62
no,Review,,,,,,,,,,,IMPERFECT MIMICRY AND THE LIMITS OF NATURAL SELECTION,"Kikuchi, David W.; Pfennig, David W.",,,,QUARTERLY REVIEW OF BIOLOGY,Dec-13,2013,88,4,,,,297,315,,10.1086/673758,,,17,3.4
yes,,,,Holhymenia clavigera,Hemiptera,Insecta,Cryptanura,Hymenoptera,Insecta,Class (Insecta),Predator,"A brief observation of morphological and behavioral similarities between the Ichneumonidae wasp Cryptanura sp. and its presumed mimic, Holymenia clavigera (Heteroptera: Coreidae), in Brazil.","Pereira, A I A; Andrade, G S; Zanuncio, J C; Penteado-Dias, A M; Serrao, J E",,,,Brazilian journal of biology = Revista brasleira de biologia,2013-Nov,2013,73,4,,,,903,9,,,,,1,0.2
yes,,,,Cypripedium parviflorum,Asparagales,Angiosperms,Packera paupercula,Asterales,Angiosperms,Subsubkingdom (Angiosperms),Pollinator/bee,Osmia species (Megachilidae) Pollinate Cypripedium parviflorum (Orchidaceae) and Packera paupercula (Asteraceae): A Localized Case of Batesian Mimicry?,"Catling, Paul M.",,,,Canadian Field-Naturalist,JAN-MAR 2015,2015,129,1,,,,38,44,,,,,0,0
no,Review,,,,,,,,,,,How spiders practice aggressive and Batesian mimicry,"Nelson, Ximena J.; Jackson, Robert R.",,,,CURRENT ZOOLOGY,2012,2012,58,4,,,,620,629,,,,,5,0.83
yes,,,,Danaus gilippus,Lepidoptera,Insecta,"Danaus gilippus, Limenitis archippus",Lepidoptera,Insecta,Family (Nymphalidae),Predator/bird,VARIATION IN PALATABILITY OF QUEEN BUTTERFLIES (DANAUS-GILIPPUS) AND IMPLICATIONS REGARDING MIMICRY,"RITLAND, DB",,,,ECOLOGY,Apr-94,1994,75,3,,,,732,746,,10.2307/1941731,,,24,1
yes,,,yes,Syrphidae,Diptera,Insecta,Hymenoptera,Hymenoptera,Insecta,Class (Insecta),Predator/artificial,The key mimetic features of hoverflies through avian eyes,"Bain, Roderick S.; Rashed, Arash; Cowper, Verity J.; Gilbert, Francis S.; Sherratt, Thomas N.",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,AUG 22 2007,2007,274,1621,,,,1949,1954,,10.1098/rspb.2007.0458,,,29,2.64
no,Can't locate article,,,,,,,,,,,"The use of mimicry in animal communication (Camouflage, imitation, false signals)","Trabalon, M",,,,REVUE D ESTHETIQUE,2002,2002,,41,,,,143,149,,,,,1,0.06
no,Theoretical,,,,,,,,,,,A learning strategy for predator preying on edible and inedible prey,"Tsoularis, A.",,,,ACTA BIOTHEORETICA,Sep-07,2007,55,3,,,,283,295,,10.1007/s10441-007-9020-y,,,4,0.36
yes,,,,Angiosperms,Angiosperms,Angiosperms,Angiosperms,,Angiosperms,Subsubkingdom (Angiosperms),Herbivore,Mullerian and Batesian mimicry rings of white-variegated aposematic spiny and thorny plants: A hypothesis,"Lev-Yadun, Simcha",,,,ISRAEL JOURNAL OF PLANT SCIENCES,2009,2009,57,01-Feb,,,,107,116,,10.1560/IJPS.57.1-2.107,,,13,1.44
yes,,,,Asidini,Coleoptera,Insecta,Eleodes,Coleoptera,Insecta,Family (Tenebrionidae),Predator,The evolution of Batesian mimicry within the North American Asidini (Coleoptera: Tenebrionidae),"Smith, Aaron D.; Wilson, Joseph S.; Cognato, Anthony I.",,,,CLADISTICS,Oct-15,2015,31,5,,,,441,454,,10.1111/cla.12101,,,0,0
no,Theoretical,,,,,,,,,,,Evasive mimicry: when (if ever) could mimicry based on difficulty of capture evolve?,"Ruxton, GD; Speed, M; Sherratt, TN",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,OCT 22 2004,2004,271,1553,,,,2135,2142,,10.1098/rspb.2004.2816,,,15,1.07
no,Theoretical,,,,,,,,,,,Population dynamics of Batesian mimicry under interspecific competition,"Kumazawa, Fuga; Asami, Takahiro; Hayashi, Tarou; Yoshimura, Jin",,,,EVOLUTIONARY ECOLOGY RESEARCH,May-06,2006,8,4,,,,591,604,,,International Symposium on Dynamical Systems Theory and Its Applications to Biology and Environmental Sciences,"MAR, 2004",2,0.17
no,Can't locate article,,,,,,,,,,,Molecular basis for Batesian mimicry,"Fujiwara, Haruhiko; Nishikawa, Hideki; Iijima, Takuro; Hori, Hiroshi; Ando, Toshiya; Ito, Takehiko; Kajitani, Rei",,,,GENES & GENETIC SYSTEMS,Dec-13,2013,88,6,,,,332,332,,,,,0,0
no,Theoretical,,,,,,,,,,,Disentangling taste and toxicity in aposematic prey,"Holen, Oistein Haugsten",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,FEB 22 2013,2013,280,1753,,,,,,20122588,10.1098/rspb.2012.2588,,,7,1.4
yes,,,,Laniocera hypopyrra,Passeriformes,Aves,Megalopygidae,Lepidoptera,Insecta,Kingdom (Animalia),Predator,Morphological and Behavioral Evidence of Batesian Mimicry in Nestlings of a Lowland Amazonian Bird,"Londono, Gustavo A.; Garica, Duvan A.; Sanchez Martinez, Manuel A.",,,,AMERICAN NATURALIST,Jan-15,2015,185,1,,,,135,141,,10.1086/679106,,,5,1.67
no,Not about mimicry,,,,,,,,,,,"Taxonomic revision and phylogenetic hypothesis for the jumping spider subfamily Ballinae (Araneae, Salticidae)","Benjamin, SR",,,,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Sep-04,2004,142,1,,,,1,82,,10.1111/j.1096-3642.2004.00123.x,,,28,2
yes,,yes,,Myrmarachne,Araneae,Arachnida,Formicidae,Hymenoptera,Insecta,Phylum (Arthropoda),Predator/salticid,Conditional use of honest signaling by a Batesian mimic,"Nelson, XJ; Jackson, RR; Li, DQ",,,,BEHAVIORAL ECOLOGY,JUL-AUG 2006,2006,17,4,,,,575,580,,10.1093/beheco/arj068,,,5,0.42
no,Not about mimicry,,,,,,,,,,,Regulation of dopa decarboxylase expression during colour pattern formation in wild-type and melanic tiger swallowtail butterflies,"Koch, PB; Keys, DN; Rocheleau, T; Aronstein, K; Blackburn, M; Carroll, SB; Ffrench-Constant, RH",,,,DEVELOPMENT,Jun-98,1998,125,12,,,,2303,2313,,,,,58,2.9
no,Theoretical,,,,,,,,,,,Mimics without models: causes and consequences of allopatry in Batesian mimicry complexes,"Pfennig, David W.; Mullen, Sean P.",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,SEP 7 2010,2010,277,1694,,,,2577,2585,,10.1098/rspb.2010.0586,,,17,2.12
no,Theoretical with examples,,,,,,,,,,,"Evolution of diversity in warning color and mimicry: Polymorphisms, shifting balance, and speciation","Mallet, James; Joron, Mathieu",,,,Annual Review of Ecology and Systematics,1999,1999,30,,,,,201,233,,,,,0,0
no,Can't locate article,,,,,,,,,,,"A new exhibition room on the subject of ecological theories aiming to make kids understand Batesian mimicry, island biogegraphy and metapopulation concept","Ishida, S.; Sakuma, D.; Shaku, C.; Wada, T.",,,,Japanese Journal of Ecology (Otsu),Mar-10,2010,60,1,,,,131,135,,,,,0,0
yes,,yes,,Myrmarachne,Araneae,Arachnida,Formicidae,Hymenoptera,Insecta,Phylum (Arthropoda),Predator,Dynamics of the evolution of Batesian mimicry: molecular phylogenetic analysis of ant-mimicking Myrmarachne (Araneae : Salticidae) species and their ant models,"Ceccarelli, F. S.; Crozier, R. H.",,,,JOURNAL OF EVOLUTIONARY BIOLOGY,Jan-07,2007,20,1,,,,286,295,,10.1111/j.1420-9101.2006.01199.x,,,21,1.91
yes,,,yes,Artificial,Artificial,Artificial,Artificial,Artificial,Artificial,Artificial,Predator/bird,Field estimates of survival do not reflect ratings of mimetic similarity in wasp-mimicking hover flies,"Easley, Jennifer Lauren; Hassall, Christopher",,,,EVOLUTIONARY ECOLOGY,Mar-14,2014,28,2,,,,387,396,,10.1007/s10682-013-9678-3,,,5,1.25
no,Theoretical,,,,,,,,,,,Do unprofitable prey evolve traits that profitable prey find difficult to exploit?,"Sherratt, TN; Franks, DW",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,NOV 22 2005,2005,272,1579,,,,2441,2447,,10.1098/rspb.2005.3229,,,13,1
no,Not about mimicry,,,,,,,,,,,Gregariousness as a defence strategy of moderately defended prey: experiments with Pyrrhocoris apterus and avian predators,"Svadova, Katerina Hotova; Exnerova, Alice; Stys, Pavel",,,,BEHAVIOUR,2014,2014,151,11,,,,1617,1640,,10.1163/1568539X-00003208,,,2,0.5
yes,,,,Alseuosmia pusilla,Asterales,Angiosperms,Pseudowintera colorata,Canellales,Angiosperms,Subsubkingdom (Angiosperms),Herbivore,The significance of shared leaf shape in Alseuosmia pusilla and Pseudowintera colorata,"Yager, Karl G.; Schaefer, H. Martin; Gould, Kevin S.",,,,BOTANY,Jul-16,2016,94,7,,,,555,564,,10.1139/cjb-2016-0049,,,0,0
no,Not about mimicry,,,,,,,,,,,EARLY STAGES AND NATURAL HISTORY OF CITHAERIAS P. PIRETA (SATYRINAE) FROM COSTA RICA,"Ricardo Murillo-Hiller, Luis",,,,JOURNAL OF THE LEPIDOPTERISTS SOCIETY,OCT 22 2009,2009,63,3,,,,169,172,,,,,1,0.11
no,Not about mimicry,,,,,,,,,,,"POLYMORPHISM AND EVOLUTION IN THE BUTTERFLY DANAUS-CHRYSIPPUS (L) (LEPIDOPTERA, DANAINAE)","SMITH, DAS; OWEN, DF; GORDON, IJ; OWINY, AM",,,,HEREDITY,Sep-93,1993,71,,3,,,242,251,,10.1038/hdy.1993.132,,,23,0.92
yes,,yes,,Araneae,Araneae,Arachnida,Formicidae,Hymenoptera,Insecta,Phylum (Arthropoda),Predator,Do ant mimics imitate cuticular hydrocarbons of their models?,"Pekar, S.; Jiros, P.",,,,ANIMAL BEHAVIOUR,Nov-11,2011,82,5,,,,1193,1199,,10.1016/j.anbehav.2011.09.007,,,1,0.14
yes,,,,Lepidoptera,Lepidoptera,Insecta,Lepidoptera,Lepidoptera,Insecta,Order (Lepidoptera),Predator/bird,Asynchrony in daily activity patterns of butterfly models and mimics,"Pinheiro, Carlos E. G.",,,,JOURNAL OF TROPICAL ECOLOGY,Jan-07,2007,23,,1,,,119,123,,10.1017/S0266467406003749,,,9,0.82
yes,,,,Synallaxis albescens,Passeriformes,Aves,Crotalus durissus,Squamata,Reptilia,Subphylum (Vertebrata),,"Una vocalizacion del Pijui Comun de Cola Parda, Synallaxis albescens (Aves, Furnariidae), es similar al sonido mecanico de advertencia de la Vibora de Cascabel, Crotalus durissus terrificus (Serpentes, Crotalidae). [A vocalization of the Pale-breasted Spinetail, Synallaxis albescens (Aves, Furnariidae) is similar to the mechanical warning sound of the rattlesnake, Crotalus durissus terrificus, (Serpentes, Crotalidae).]","Straneck, Roberto Juan",,,,Revista del Museo Argentino de Ciencias Naturales Nueva Serie,"Mayo, 1999",1999,1,1,,,,115,119,,,,,4,0.21
yes,,,,Derbidae,Hemiptera,Insecta,Salticidae,Araneae,Arachnida,Phylum (Arthropoda),,"A tropical Derbidae (Fulgoroidea, Homoptera) that mimics a predator (Salticidae, Araneae)","Floren, Andreas; Otto, Stefan",,,,Ecotropica (Bonn),2001,2001,7,01-Feb,,,,151,153,,,,,2,0.12
no,Can't locate article,,,,,,,,,,,Scratching the surface of mimicry: sound production through scale abrasion in snakes.,"Young, Bruce A.; Meltzer, Karen; Marsit, Carmen",,,,Hamadryad,Aug-99,1999,24,1,,,,29,38,,,,,2,0.11
no,Review,,,,,,,,,,,Biomechanics and behavioral mimicry in insects,"Golding, Y; Ennos, R",,,"Herrel, A; Speck, T; Rowe, NP",Ecology and Biomechanics: A MECHANICAL APPROACH TO THE ECOLOGY OF ANIMALS AND PLANTS,2006,2006,,,,,,213,229,,,Symposium on Ecology and Biomechanics held at the Annual Meeting of the Society-for-Experimental-Biology,"APR, 2004",1,0.08
no,Not about mimicry,,,,,,,,,,,"CLASSIFICATION, NATURAL HISTORY, AND EVOLUTION OF THE EPIPHLOEINAE (COLEOPTERA: CLERIDAE). PART VIII. THE GENERA ACANTHOCOLLUM OPITZ, STEGNOCLAVA OPITZ, AND ICHNEA LAPORTE","Opitz, Weston",,,,COLEOPTERISTS BULLETIN,2010,2010,64,4,,S,,1,65,,10.1649/0010-065X-64.mo4.1,,,2,0.25
no,Not about mimicry,,,,,,,,,,,Plant domestication: a model for studying the selection of linkage,"D'Ennequin, ML; Toupance, B; Robert, T; Godelle, B; Gouyon, PH",,,,JOURNAL OF EVOLUTIONARY BIOLOGY,Nov-99,1999,12,6,,,,1138,1147,,10.1046/j.1420-9101.1999.00115.x,,,29,1.53
yes,,,,Pholidichthys leucotaenia,Perciformes,Actinopterygii,Plotosus lineatus,Siluriformes,Actinopterygii,Class (Actinopterygii),Predator,"Swarming, diel movements, feeding and cleaning behavior of juvenile venomous eeltail catfishes, Plotosus lineatus and P-japonicus (Siluriformes: Plotosidae)","Clark, Eugenie; Nelson, Diane R.; Stoll, Mary Jane; Kobayashi, Yasumasa",,,,Aqua,OCT 15 2011,2011,17,4,,,,211,239,,,,,2,0.29
no,Theoretical,,,,,,,,,,,A simple mathematical model for Batesian mimicry,"Blows, TR; Wimmer, BJ",,,,DISCRETE DYNAMICS IN NATURE AND SOCIETY,JAN 12 2005,2005,,1,,,,87,92,,10.1155/DDNS.2005.87,,,3,0.23
yes,,,,Limenitis lorquini,Lepidoptera,Insecta,Adelpha bredowii,Lepidoptera,Insecta,Family (Nymphalidae),Predator/bird,"Evaluating a putative mimetic relationship between two butterflies, Adelpha bredowii and Limenitis lorquini","Prudic, KL; Shapiro, AM; Clayton, NS",,,,ECOLOGICAL ENTOMOLOGY,Feb-02,2002,27,1,,,,68,75,,10.1046/j.0307-6946.2001.00384.x,,,16,1
no,Can't locate article,,,,,,,,,,,Camouflage et mimetisme chez les insectes guyanais.. [Camouflage and mimetism in insects of Guiana.],"Purser, Bruce H.",,,"Lacomme, Daniel; Manil, Luc",[Butterflies of French Guiana. Volume 1: introduction - Heterocera 1. 2nd edition.].,2007,2007,,,,,,30,42,,,,,0,0
yes,,yes,,Myrmarachne,Araneae,Arachnida,Formicidae,Hymenoptera,Insecta,Class (Insecta),Predator,"Behavioral mimicry in Myrmarachne species (Araneae, Salticidae) from North Queensland, Australia","Ceccarelli, Fadia Sara",,,,JOURNAL OF ARACHNOLOGY,2008,2008,36,2,,,,344,351,,10.1636/CSt07-114.1,,,17,1.7
yes,,,,Allobates,Anura,Amphibia,Dendrobatidae,Anura,Amphibia,Order (Anura),Predator,"Conspicuousness, color resemblance, and toxicity in geographically diverging mimicry: The pan-Amazonian frog Allobates femoralis.","Amezquita, Adolfo; Ramos, Oscar; Gonzalez, Mabel Cristina; Rodriguez, Camilo; Medina, Iliana; Simoes, Pedro Ivo; Lima, Albertina Pimentel",,,,Evolution; international journal of organic evolution,2017-Jan-09,2017,,,,,,,,,10.1111/evo.13170,,,0,0
yes,,,,Battus philenor,Lepidoptera,Insecta,Battus philenor,Lepidoptera,Insecta,Species (Battus philenor),Predator,"Phenological variation in chemical defense of the pipevine swallowtail, Battus philenor","Fordyce, JA; Marion, ZH; Shapiro, AM",,,,JOURNAL OF CHEMICAL ECOLOGY,Dec-05,2005,31,12,,,,2835,2846,,10.1007/s10886-005-8397-9,,,18,1.38
no,Not about mimicry,,,,,,,,,,,The evolution and loss of oil-offering flowers: new insights from dated phylogenies for angiosperms and bees,"Renner, S. S.; Schaefer, H.",,,,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,FEB 12 2010,2010,365,1539,,,,423,435,,10.1098/rstb.2009.0229,16th Discussion Meeting on Darwin and the Evolution of Flowers,"MAY, 2009",53,6.62
yes,,,,Arphia conspersa,Orthoptera,Insecta,Colias eurytheme,Lepidoptera,Insecta,Class (Insecta),Predator,Evasive mimicry involving a butterfly model and grasshopper mimic,"Balgooyen, TG",,,,AMERICAN MIDLAND NATURALIST,Jan-97,1997,137,1,,,,183,187,,10.2307/2426768,,,5,0.24
yes,,,,Holhymenia clavigera,Hemiptera,Insecta,Cryptanura,Hymenoptera,Insecta,Class (Insecta),Predator,"A brief observation of morphological and behavioral similarities between the Ichneumonidae wasp Cryptanura sp and its presumed mimic, Holymenia clavigera (Heteroptera: Coreidae), in Brazil","Pereira, A. I. A.; Andrade, G. S.; Zanuncio, J. C.; Penteado-Dias, A. M.; Serrao, J. E.",,,,BRAZILIAN JOURNAL OF BIOLOGY,Nov-14,2014,73,4,,,,903,909,,10.1590/S1519-698420130004000029,,,0,0
,,,,,,,,,,,,"BATESIAN AND MULLERIAN MIMICRY BETWEEN SPECIES WITH CONNECTED LIFE HISTORIES, WITH A NEW EXAMPLE INVOLVING BRACONID WASP PARASITES OF PHORACANTHA BEETLES","QUICKE, DLJ; INGRAM, SN; PROCTOR, J; HUDDLESTON, T",,,,JOURNAL OF NATURAL HISTORY,SEP-OCT 1992,1992,26,5,,,,1013,1034,,10.1080/00222939200770601,,,14,0.54
,,,,,,,,,,,,Floral biology and mechanisms of spontaneous self-pollination in five neotropical species of Gentianaceae,"Freitas, Leandro; Sazima, Marlies",,,,BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,Aug-09,2009,160,4,,,,357,368,,,,,7,0.78
,,,,,,,,,,,,High-model abundance may permit the gradual evolution of Batesian mimicry: an experimental test,"Kikuchi, David W.; Pfennig, David W.",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,APR 7 2010,2010,277,1684,,,,1041,1048,,10.1098/rspb.2009.2000,,,18,2.25
,Theoretical,,,,,,,,,,,"The roles of sensory traps in the origin, maintenance, and breakdown of mutualism","Edwards, David P.; Yu, Douglas W.",,,,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,Jul-07,2007,61,9,,,,1321,1327,,10.1007/s00265-007-0369-3,,,37,3.36
,,,,,,,,,,,,Facultative mimicry: cues for colour change and colour accuracy in a coral reef fish,"Cheney, Karen L.; Grutter, Alexandra S.; Marshall, N. Justin",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,JAN 22 2008,2008,275,1631,,,,117,122,,10.1098/rspb.2007.0966,,,23,2.3
,Review of ant mimicry,,,"Spider, insect",,,Ant,,,,Predator,MYRMECOMORPHY - MORPHOLOGICAL AND BEHAVIORAL MIMICRY OF ANTS,"MCIVER, JD; STONEDAHL, G",,,,ANNUAL REVIEW OF ENTOMOLOGY,1993,1993,38,,,,,351,379,,,,,83,3.32
,,,,,,,,,,,,"Biologia di Xylocopa (Xylocopa) violacea (Linne, 1758) (Hymenoptera, Apidae): Mimetismo batesiano nei comportamenti di difesa del maschio. [Biology of Xylocopa (Xylocopa) violacea (Linne, 1758) (Hymenoptera, Apidae): Batesian mimicry in male defence behaviours]","Vicidomini, Salvatore",,,,Atti del Museo Civico di Storia Naturale di Trieste,2000,2000,48,,,,,159,162,,,,,0,0
,,,,,,,,,,,,MIMICRY,"ALLEN, JA; COOPER, JM",,,,JOURNAL OF BIOLOGICAL EDUCATION,SPR 1995,1995,29,1,,,,23,26,,10.1080/00219266.1995.9655414,,,1,0.04
,Not about mimicry,,,,,,,,,,,How bright and how nasty: Explaining diversity in warning signal strength,"Speed, Michael P.; Ruxton, Graeme D.",,,,EVOLUTION,Mar-07,2007,61,3,,,,623,635,,10.1111/j.1558-5646.2007.00054.x,,,55,5
,,,,,,,,,,,,Light-mimicking cockroaches indicate Tertiary origin of recent terrestrial luminescence,"Vrsansky, Peter; Chorvat, Dusan; Fritzsche, Ingo; Hain, Miroslav; Sevcik, Robert",,,,NATURWISSENSCHAFTEN,Sep-12,2012,99,9,,,,739,749,,10.1007/s00114-012-0956-7,,,12,2
,Theoretical,,,,,,,,,,,Natural selection on unpalatable species imposed by state-dependent foraging behaviour,"Sherratt, TN; Speed, MP; Ruxton, GD",,,,JOURNAL OF THEORETICAL BIOLOGY,MAY 21 2004,2004,228,2,,,,217,226,,10.1016/j.jtbi.2003.12.009,,,46,3.29
,Not about mimicry,,,,,,,,,,,Unifying evolutionary dynamics,"Page, KM; Nowak, MA",,,,JOURNAL OF THEORETICAL BIOLOGY,NOV 7 2002,2002,219,1,,,,93,98,,10.1006/yjtbi.3112,,,104,6.5
,,,,,,,,,,,,Rapid evolution of mimicry following local model extinction,"Akcali, Christopher K.; Pfennig, David W.",,,,BIOLOGY LETTERS,Jun-14,2014,10,6,,,,,,20140304,10.1098/rsbl.2014.0304,,,2,0.5
,,,,,,,,,,,,REVISING A CLASSIC BUTTERFLY MIMICRY SCENARIO - DEMONSTRATION OF MULLERIAN MIMICRY BETWEEN FLORIDA VICEROYS (LIMENITIS-ARCHIPPUS-FLORIDENSIS) AND QUEENS (DANAUS-GILIPPUS-BERENICE),"RITLAND, DB",,,,EVOLUTION,Jun-91,1991,45,4,,,,918,934,,10.2307/2409699,,,29,1.07
,,,,,,,,,,,,"Mimicry of scorpions by juvenile lizards, Teratoscincus roborowskii (Gekkonidae).","Autumn, K.; Batur Han",,,,Chinese Herpetological Research,1989,1989,2,2,,,,60,64,,,,,6,0.21
,,,,,,,,,,,,Are spotted skunks conspicuous or cryptic?,"Caro, T.; Stankowich, T.; Kiffner, C.; Hunter, J.",,,,ETHOLOGY ECOLOGY & EVOLUTION,APR 1 2013,2013,25,2,,,,144,160,,10.1080/03949370.2012.744359,,,3,0.6
,,,,,,,,,,,,Mimicry between unequally defended prey can be parasitic: evidence for quasi-Batesian mimicry,"Rowland, Hannah M.; Mappes, Johanna; Ruxton, Graeme D.; Speed, Michael P.",,,,ECOLOGY LETTERS,Dec-10,2010,13,12,,,,1494,1502,,10.1111/j.1461-0248.2010.01539.x,,,17,2.12
,,,,,,,,,,,,PREDATOR PERCEPTION OF BATESIAN MIMICRY AND CONSPICUOUSNESS IN A SALAMANDER,"Kraemer, Andrew C.; Adams, Dean C.",,,,EVOLUTION,Apr-14,2014,68,4,,,,1197,1206,,10.1111/evo.12325,,,7,1.75
,,,,,,,,,,,,"Redescription of Astyanax multidens Eigenmann, 1908 (Characiformes: Characidae), a small characid of the Brazilian Amazon","Marinho, Manoela M. F.; Birindelli, Jose L. O.",,,,NEOTROPICAL ICHTHYOLOGY,JAN-MAR 2013,2013,11,1,,,,45,54,,,,,3,0.6
,,,,,,,,,,,,Some observations on Red-vented bulbul (Pycnonotus cafer) preying on Plain Tiger (Danaus chrysippus) butterflies.,"Bais, Rajiv K. Singh",,,,Zoos' Print,Apr 21 2016,2016,31,4,,,,15,22,,,,,0,0
